zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 0,1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,46E-10;6,94E-12;1,73E-12;1,55E-10;1,42E-09;6,92E-11;1,70E-11;1,50E-09;1,41E-08;6,91E-10;1,70E-10;1,50E-08;7,06E-08;3,46E-09;8,49E-10;7,49E-08
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,80;4,34E-12;1,90E-14;2,09E-14;4,38E-12;4,55E-12;1,90E-14;2,09E-14;4,59E-12;6,61E-12;1,90E-14;2,09E-14;6,65E-12;1,58E-11;1,90E-14;2,09E-14;1,58E-11
0,81;4,44E-12;1,68E-14;1,84E-14;4,48E-12;4,44E-12;1,68E-14;1,84E-14;4,48E-12;4,44E-12;1,68E-14;1,84E-14;4,48E-12;4,44E-12;1,68E-14;1,84E-14;4,48E-12
0,82;4,26E-12;2,09E-14;2,30E-14;4,30E-12;4,26E-12;2,09E-14;2,30E-14;4,30E-12;4,26E-12;2,09E-14;2,30E-14;4,30E-12;4,26E-12;2,09E-14;2,30E-14;4,30E-12
0,83;4,51E-12;2,13E-14;2,49E-14;4,55E-12;4,91E-12;2,13E-14;2,49E-14;4,95E-12;8,93E-12;2,13E-14;2,49E-14;8,97E-12;2,68E-11;2,13E-14;2,49E-14;2,68E-11
0,84;4,46E-12;1,98E-14;1,99E-14;4,50E-12;4,46E-12;1,98E-14;1,99E-14;4,50E-12;4,46E-12;1,98E-14;1,99E-14;4,50E-12;4,46E-12;1,98E-14;1,99E-14;4,50E-12
0,85;4,74E-12;1,34E-14;2,13E-14;4,77E-12;4,78E-12;1,34E-14;2,13E-14;4,81E-12;5,14E-12;1,34E-14;2,13E-14;5,17E-12;6,76E-12;1,34E-14;2,13E-14;6,79E-12
0,86;4,71E-12;1,55E-14;2,13E-14;4,74E-12;4,92E-12;1,55E-14;2,13E-14;4,95E-12;7,01E-12;1,55E-14;2,13E-14;7,05E-12;1,63E-11;1,55E-14;2,13E-14;1,64E-11
0,87;4,47E-12;1,55E-14;2,31E-14;4,51E-12;4,73E-12;1,55E-14;2,31E-14;4,77E-12;7,29E-12;1,55E-14;2,31E-14;7,33E-12;1,87E-11;1,55E-14;2,31E-14;1,87E-11
0,88;4,74E-12;1,46E-14;2,49E-14;4,78E-12;5,18E-12;1,46E-14;2,49E-14;5,22E-12;9,59E-12;1,46E-14;2,49E-14;9,63E-12;2,92E-11;1,46E-14;2,49E-14;2,92E-11
0,89;4,49E-12;1,59E-14;2,04E-14;4,52E-12;4,80E-12;1,59E-14;2,04E-14;4,84E-12;7,98E-12;1,59E-14;2,04E-14;8,01E-12;2,21E-11;1,59E-14;2,04E-14;2,21E-11
0,90;4,34E-12;1,67E-14;1,79E-14;4,38E-12;4,65E-12;1,67E-14;1,79E-14;4,68E-12;7,72E-12;1,67E-14;1,79E-14;7,75E-12;2,14E-11;1,67E-14;1,79E-14;2,14E-11
0,91;4,26E-12;1,49E-14;2,27E-14;4,29E-12;4,65E-12;1,49E-14;2,27E-14;4,68E-12;8,57E-12;1,49E-14;2,27E-14;8,60E-12;2,60E-11;1,49E-14;2,27E-14;2,60E-11
0,92;4,35E-12;1,29E-14;2,41E-14;4,39E-12;4,83E-12;1,29E-14;2,41E-14;4,87E-12;9,61E-12;1,29E-14;2,41E-14;9,65E-12;3,09E-11;1,29E-14;2,41E-14;3,09E-11
0,93;4,46E-12;1,41E-14;2,69E-14;4,50E-12;4,72E-12;1,41E-14;2,69E-14;4,76E-12;7,32E-12;1,41E-14;2,69E-14;7,36E-12;1,89E-11;1,41E-14;2,69E-14;1,89E-11
0,94;4,56E-12;1,41E-14;2,46E-14;4,59E-12;5,12E-12;1,41E-14;2,46E-14;5,16E-12;1,08E-11;1,41E-14;2,46E-14;1,08E-11;3,59E-11;1,41E-14;2,46E-14;3,60E-11
0,95;4,46E-12;1,40E-14;2,07E-14;4,49E-12;4,87E-12;1,40E-14;2,07E-14;4,90E-12;9,01E-12;1,40E-14;2,07E-14;9,05E-12;2,74E-11;1,40E-14;2,07E-14;2,75E-11
0,96;4,25E-12;1,84E-14;2,65E-14;4,30E-12;5,29E-12;1,84E-14;2,65E-14;5,33E-12;1,56E-11;1,84E-14;2,65E-14;1,57E-11;6,16E-11;1,84E-14;2,65E-14;6,16E-11
0,97;4,19E-12;2,10E-14;2,10E-14;4,23E-12;4,98E-12;3,64E-14;2,10E-14;5,04E-12;1,29E-11;1,91E-13;2,10E-14;1,31E-11;4,81E-11;8,75E-13;2,10E-14;4,90E-11
0,98;4,54E-12;1,18E-14;2,74E-14;4,58E-12;4,95E-12;1,18E-14;2,74E-14;4,99E-12;9,02E-12;1,18E-14;2,74E-14;9,06E-12;2,71E-11;1,18E-14;2,74E-14;2,71E-11
0,99;4,21E-12;1,63E-14;2,39E-14;4,25E-12;4,79E-12;2,67E-14;2,39E-14;4,84E-12;1,06E-11;1,30E-13;2,39E-14;1,07E-11;3,63E-11;5,89E-13;2,39E-14;3,69E-11
1,00;4,60E-12;1,50E-14;2,51E-14;4,64E-12;5,63E-12;1,50E-14;2,51E-14;5,67E-12;1,60E-11;1,50E-14;2,51E-14;1,60E-11;6,20E-11;1,50E-14;2,51E-14;6,20E-11
1,01;4,53E-12;1,79E-14;2,27E-14;4,57E-12;5,74E-12;1,79E-14;2,27E-14;5,78E-12;1,78E-11;1,79E-14;2,27E-14;1,78E-11;7,13E-11;1,79E-14;2,27E-14;7,13E-11
1,02;4,58E-12;1,72E-14;1,94E-14;4,62E-12;5,67E-12;1,72E-14;1,94E-14;5,70E-12;1,65E-11;1,72E-14;1,94E-14;1,65E-11;6,46E-11;1,72E-14;1,94E-14;6,46E-11
1,03;4,38E-12;1,98E-14;1,79E-14;4,42E-12;5,08E-12;4,18E-14;1,79E-14;5,14E-12;1,20E-11;2,62E-13;1,79E-14;1,23E-11;4,29E-11;1,24E-12;1,79E-14;4,41E-11
1,04;4,34E-12;1,51E-14;1,81E-14;4,37E-12;5,09E-12;1,51E-14;1,81E-14;5,12E-12;1,26E-11;1,51E-14;1,81E-14;1,26E-11;4,60E-11;1,51E-14;1,81E-14;4,61E-11
1,05;4,53E-12;1,78E-14;2,59E-14;4,58E-12;5,27E-12;1,78E-14;2,59E-14;5,32E-12;1,27E-11;1,78E-14;2,59E-14;1,27E-11;4,55E-11;1,78E-14;2,59E-14;4,55E-11
1,06;4,41E-12;1,89E-14;1,87E-14;4,45E-12;5,41E-12;1,89E-14;1,87E-14;5,45E-12;1,54E-11;1,89E-14;1,87E-14;1,54E-11;5,97E-11;1,89E-14;1,87E-14;5,98E-11
1,07;4,46E-12;2,31E-14;1,75E-14;4,50E-12;5,62E-12;2,31E-14;1,75E-14;5,66E-12;1,72E-11;2,31E-14;1,75E-14;1,73E-11;6,88E-11;2,31E-14;1,75E-14;6,89E-11
1,08;4,57E-12;1,69E-14;1,88E-14;4,61E-12;5,79E-12;1,69E-14;2,03E-14;5,82E-12;1,79E-11;1,69E-14;3,57E-14;1,80E-11;7,18E-11;1,69E-14;1,04E-13;7,19E-11
